Sub Category,Price,Discount,Rating,Title,Currency,Feature
Batteries,$20.99 ,No Discount,,"Duracell Coppertop Alkaline AA Batteries, 40-count",$,POWER BOOST™ Ingredients   Guaranteed For 12 Years In Storage   #1 Trusted Battery Brand   Long Lasting Performance
Batteries,$20.99 ,No Discount,,"Duracell Coppertop Alkaline AAA Batteries, 40-count",$,POWER BOOST™ Ingredients   Guaranteed For 12 Years In Storage   #1 Trusted Battery Brand   Long Lasting Performance
Batteries,$20.99 ,No Discount,,"Duracell 9V Alkaline Batteries, 8-count",$,Long-Lasting Batteries Designed for Dependability   Guaranteed 5 Years in Storage   #1 Trusted Battery Brand
Batteries,$18.99 ,No Discount,,"Duracell C Alkaline Batteries, 14-count",$,Long-Lasting Batteries Designed for Dependability   Guaranteed 10 Years in Storage   #1 Trusted Battery Brand
Batteries,$14.99 ,No Discount,Rated 4.8 out of 5 stars based on 125 reviews.,"Duracell 2032 Lithium Coin Batteries, 12-count",$,Our Longest Lasting Lithium Coin Battery Ever   Compatible with Apple AirTag   Child Safety - Bitter Taste Discourages Swallowing   Child Secure Packaging   Guaranteed 10 Years in Storage
Batteries,$18.99 ,No Discount,,"Duracell D Alkaline Batteries, 14-count",$,Long-Lasting Batteries Designed for Dependability   Guaranteed 10 Years in Storage   #1 Trusted Battery Brand
Batteries,$299.99through-$449.99,Special Event - Ends on 01/21/24,,Jackery Explorer 550 Portable Power Station,$,"500W Output Power, 1000W Peak   High Power, Large Capacity 550Wh   Multiple Input / Out Ports, Charge up to 7 Devices Simultaneously   Station Features: 1 AC Outlet, 2 DC Ports, 1 Car Port & 3 USB-A Ports   Multiple Charging Methods: Solar Panel, Car Outlets, Wall Charge"
Batteries,"$1,149.99through-$1,499.99",Special Event - Ends on 01/21/24,,Jackery Explorer 2000 Pro Portable Power Station,$,"2220W Output Power, 4400W Peak   High Power, Large Capacity 2160Wh   Multiple Input / Out Ports, Charge up to 8 Devices Simultaneously   Station Features: 3 AC Outlets, 2 USB-A Ports, 2 USB-C Ports, 1 Car Port   Multiple Charging Methods: Solar Panel, Car Outlets, Wall Charge"
Cameras & Camcorders,$289.99 ,Price valid through 1/21/24,Rated 4.2 out of 5 stars based on 238 reviews.,GoPro HERO11 Black Action Camera Bundle,$,"Also Includes: Shorty Hand Grip, Spare Enduro Battery (2 total), Compact Case, 64GB microSD   5K Video + 27MP Photos
Waterproof up to 33 feet
Built-in Wi-Fi, Bluetooth and Voice Control
Webcam and Live Streaming Functionality"
Cameras & Camcorders,$399.99 ,Price valid through 3/31/24,Rated 4.4 out of 5 stars based on 99 reviews.,Insta360 X3 - 5.7K 360° Action Camera Adventure Bundle,$,"X3 Captures 5.7K 360 Active HDR Video   Dual 1/2"" 48MP Sensors for Greater Clarity and Detail   4K Single-Lens Mode: Select a Lens to Shoot Wide-Angle Footage   Flowstate Stabilization and Horizon Leveling Algorithms Deliver Smooth Videos   In the Box: Insta360 X3, Cable, Pouch, Lens Cloth and Cap, Extra Battery, Selfie Stick, and Memory Card"
